Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
Cencora Inc,COR,0.079731,   164.80,-14.2,(-7.95%),
Electronic Arts Inc,EA,0.079663,   121.82,1.22,-1.01%,
West Pharmaceutical Services,WST,0.078447,   394.80,0.2,-0.05%,
Arch Capital Group Ltd,ACGL,0.078425,   80.76,0.19,-0.24%,
Lennar Corp A,LEN,0.077738,   115.60,-1.44,(-1.23%),
Aptiv Plc,APTV,0.077733,   99.99,-1.4,(-1.38%),
Quanta Services Inc,PWR,0.077603,   198.12,0.42,-0.21%,
Allstate Corp,ALL,0.076326,   107.55,-3.49,(-3.14%),
Vulcan Materials Co,VMC,0.075127,   211.83,0.14,-0.07%,
Diamondback Energy Inc,FANG,0.074708,   157.60,1.34,-0.86%,
Cdw Corp/de,CDW,0.074434,   213.79,5.1,-2.44%,
Gartner Inc,IT,0.074086,   377.88,26.05,-7.40%,
Edison International,EIX,0.073346,   65.50,-5.72,(-8.03%),
Wec Energy Group Inc,WEC,0.07303,   91.30,4.62,-5.32%,
Extra Space Storage Inc,EXR,0.072756,   132.76,6.16,-4.87%,
Ansys Inc,ANSS,0.072341,   318.64,6.72,-2.15%,
Fortive Corp,FTV,0.072133,   77.47,1.01,-1.32%,
American Water Works Co Inc,AWK,0.072054,   144.40,5.98,-4.32%,
Ingersoll Rand Inc,IR,0.071737,   65.19,-1.2,(-1.81%),
Kraft Heinz Co,KHC,0.071256,   33.51,0.09,-0.27%,
Martin Marietta Materials,MLM,0.070484,   428.33,0.29,-0.07%,
Warner Bros Discovery Inc,WBD,0.070337,   11.68,0.02,-0.14%,
Ge Healthcare Technology,GEHC,0.06985,   54.00,-12.3,(-18.53%),
Avalonbay Communities Inc,AVB,0.069043,   167.00,-15,(-8.23%),
Delta Air Lines Inc,DAL,0.068781,   39.20,0.31,-0.78%,
Mettler Toledo International,MTD,0.068554,"   1,113.48",-21.5,(-1.89%),
Zimmer Biomet Holdings Inc,ZBH,0.068329,   113.16,-8.87,(-7.27%),
Dollar General Corp,DG,0.068219,   113.95,0.29,-0.25%,
Lyondellbasell Indu Cl A,LYB,0.068089,   98.63,-1.9,(-1.89%),
T Rowe Price Group Inc,TROW,0.066121,   109.50,0.45,-0.41%,
Cbre Group Inc A,CBRE,0.065178,   78.98,0.05,-0.06%,
Equifax Inc,EFX,0.064693,   195.09,0.14,-0.07%,
Keysight Technologies In,KEYS,0.063952,   133.73,0.98,-0.73%,
Corning Inc,GLW,0.063907,   31.42,-0.15,(-0.47%),
Weyerhaeuser Co,WY,0.063804,   32.32,0.08,-0.23%,
Ebay Inc,EBAY,0.063609,   43.79,-0.12,(-0.26%),
Align Technology Inc,ALGN,0.063566,   322.44,-2.88,(-0.89%),
Hp Inc,HPQ,0.063523,   27.29,-0.03,(-0.11%),
Sba Communications Corp,SBAC,0.063305,   215.23,0.13,-0.06%,
Dollar Tree Inc,DLTR,0.062789,   111.56,0.78,-0.71%,
Church & Dwight Co Inc,CHD,0.062423,   95.22,0.07,-0.07%,
Tractor Supply Company,TSCO,0.062122,   206.04,-3.45,(-1.65%),
Illumina Inc,ILMN,0.061701,   142.84,0.43,-0.30%,
Royal Caribbean Cruises Ltd,RCL,0.061589,   96.05,0.13,-0.13%,
State Street Corp,STT,0.061412,   71.30,0.04,-0.06%,
Xylem Inc,XYL,0.061171,   95.54,0.06,-0.07%,
Steris Plc,STE,0.061113,   194.48,-33.6,(-14.73%),
Take Two Interactive Softwre,TTWO,0.060906,   139.79,-1.54,(-1.09%),
Discover Financial Services,DFS,0.060168,   88.20,-0.27,(-0.31%),
Eversource Energy,ES,0.06012,   63.56,-0.73,(-1.14%),
Cardinal Health Inc,CAH,0.059928,   88.16,-0.02,(-0.02%),
Hartford Financial Svcs Grp,HIG,0.059878,   72.44,-0.84,(-1.14%),
Monolithic Power Systems Inc,MPWR,0.059491,   464.36,1.17,-0.25%,
Fair Isaac Corp,FICO,0.059431,   888.40,-14.7,(-1.63%),
Dte Energy Company,DTE,0.059237,   103.92,-3.08,(-2.88%),
Hewlett Packard Enterprise,HPE,0.059081,   16.97,-0.03,(-0.18%),
Broadridge Financial Solutio,BR,0.058469,   185.08,0.12,-0.07%,
Equity Residential,EQR,0.057833,   62.37,0.14,-0.22%,
Albemarle Corp,ALB,0.057801,   182.33,0.71,-0.39%,
M & T Bank Corp,MTB,0.057696,   126.85,0.16,-0.12%,
Willis Towers Watson Plc,WTW,0.05766,   207.87,-0.48,(-0.23%),
Resmed Inc,RMD,0.057182,   147.47,1.42,-0.97%,
Coterra Energy Inc,CTRA,0.056921,   27.95,0.05,-0.17%,
Genuine Parts Co,GPC,0.056477,   148.09,0.02,-0.01%,
Ameren Corporation,AEE,0.056036,   100.00,19.32,-23.95%,
Entergy Corp,ETR,0.056002,   96.43,-2.36,(-2.38%),
Ulta Beauty Inc,ULTA,0.055248,   402.81,-5.08,(-1.24%),
Invitation Homes Inc,INVH,0.054713,   33.88,-0.81,(-2.32%),
Dover Corp,DOV,0.054398,   143.63,0.1,-0.07%,
Raymond James Financial Inc,RJF,0.054285,   107.24,0.08,-0.07%,
Fleetcor Technologies Inc,FLT,0.054017,   275.21,0.12,-0.05%,
Mccormick & Co Non Vtg Shrs,MKC,0.053667,   78.51,-1.42,(-1.77%),
Nvr Inc,NVR,0.053211,"   6,312.30",185.39,-3.03%,
Baxter International Inc,BAX,0.053021,   38.60,-0.13,(-0.33%),
Teledyne Technologies Inc,TDY,0.052295,   416.57,-3.49,(-0.83%),
Wabtec Corp,WAB,0.051744,   108.18,0.07,-0.07%,
Targa Resources Corp,TRGP,0.051146,   85.72,0.06,-0.07%,
Firstenergy Corp,FE,0.051092,   36.55,-0.23,(-0.61%),
Molina Healthcare Inc,MOH,0.050955,   329.08,0.08,-0.02%,
Ppl Corp,PPL,0.050472,   25.33,-0.35,(-1.34%),
Fifth Third Bancorp,FITB,0.050118,   27.50,0.37,-1.36%,
First Solar Inc,FSLR,0.049879,   168.32,0.58,-0.34%,
Centerpoint Energy Inc,CNP,0.049214,   29.29,0.14,-0.48%,
Iron Mountain Inc,IRM,0.049117,   63.94,0.87,-1.38%,
Howmet Aerospace Inc,HWM,0.049035,   47.19,0.1,-0.20%,
Darden Restaurants Inc,DRI,0.048656,   146.13,-2.97,(-2.00%),
Clorox Company,CLX,0.048552,   143.30,0.6,-0.42%,
Verisign Inc,VRSN,0.048308,   205.05,5.33,-2.67%,
Ventas Inc,VTR,0.047978,   44.00,0.31,-0.71%,
Laboratory Crp of Amer Hldgs,LH,0.04796,   211.50,10.33,-5.14%,
Alexandria Real Estate Equit,ARE,0.04751,   113.37,1.05,-0.93%,
Southwest Airlines Co,LUV,0.047318,   29.68,0.6,-2.08%,
Intl Flavors & Fragrances,IFF,0.047251,   68.86,1.46,-2.16%,
Hologic Inc,HOLX,0.047183,   72.13,0.13,-0.19%,
Expeditors Intl Wash Inc,EXPD,0.046987,   116.23,-1.52,(-1.29%),
Nasdaq Inc,NDAQ,0.046034,   51.66,0.64,-1.25%,
Principal Financial Group,PFG,0.045902,   76.97,0.03,-0.04%,
Brown & Brown Inc,BRO,0.045896,   69.69,-3.64,(-4.96%),
Atmos Energy Corp,ATO,0.045801,   114.58,0.08,-0.07%,
Cooper Cos Inc,COO,0.045416,   360.25,22.79,-6.75%,
Bunge Ltd,BG,0.045369,   113.04,-0.89,(-0.78%),
Regions Financial Corp,RF,0.04522,   19.00,1.2,-6.74%,
