Local time,Ask,Bid,AskVolume,BidVolume
04.09.2023 01:18:43.453 GMT+0300,4512.181,4511.661,0.0006,0.0006
04.09.2023 01:18:43.897 GMT+0300,4511.883,4511.414000000001,0.0006,0.0006
04.09.2023 01:18:44.596 GMT+0300,4512.063,4511.537,0.0006,0.0006
04.09.2023 01:18:48.564 GMT+0300,4511.934,4511.4259999999995,0.0006,0.0006
04.09.2023 01:18:59.679 GMT+0300,4512.057,4511.531,0.0006,0.0006
04.09.2023 01:19:00.369 GMT+0300,4512.181,4511.727,0.0006,0.0006
04.09.2023 01:19:00.573 GMT+0300,4512.4490000000005,4511.917,0.0006,0.0006
04.09.2023 01:19:00.623 GMT+0300,4511.883,4511.432,0.0006,0.0006
04.09.2023 01:19:01.728 GMT+0300,4511.681,4511.173,0.0006,0.0006
04.09.2023 01:19:03.647 GMT+0300,4511.883,4511.423,0.0006,0.0006
04.09.2023 01:19:08.087 GMT+0300,4511.633,4511.164000000001,0.0006,0.0006
04.09.2023 01:19:10.656 GMT+0300,4511.937,4511.423,0.0006,0.0006
04.09.2023 01:19:41.303 GMT+0300,4512.181,4511.673,0.0006,0.0006
04.09.2023 01:20:10.815 GMT+0300,4512.048,4511.54,0.0006,0.0006
04.09.2023 01:20:10.917 GMT+0300,4511.928,4511.411,0.0006,0.0006
04.09.2023 01:20:24.441 GMT+0300,4512.1990000000005,4511.661,0.0006,0.0006
04.09.2023 01:20:24.664 GMT+0300,4512.054,4511.543,0.0006,0.0006
04.09.2023 01:20:26.206 GMT+0300,4511.931,4511.417,0.0006,0.0006
04.09.2023 01:20:26.672 GMT+0300,4512.069,4511.543,0.0006,0.0006
04.09.2023 01:20:27.077 GMT+0300,4511.934,4511.432,0.0006,0.0006
04.09.2023 01:20:32.358 GMT+0300,4512.196,4511.6759999999995,0.0006,0.0006
04.09.2023 01:21:20.493 GMT+0300,4511.934,4511.417,0.0006,0.0006
04.09.2023 01:22:39.185 GMT+0300,4512.003,4511.597000000001,0.0006,0.0006
04.09.2023 01:22:39.440 GMT+0300,4512.196,4511.679,0.0006,0.0006
04.09.2023 01:22:55.687 GMT+0300,4512.319,4511.793,0.0006,0.0006
04.09.2023 01:22:55.885 GMT+0300,4512.184,4511.67,0.0006,0.0006
04.09.2023 01:23:09.499 GMT+0300,4512.446,4511.911,0.0006,0.0006
04.09.2023 01:23:10.965 GMT+0300,4512.181,4511.682,0.0006,0.0006
04.09.2023 01:24:38.619 GMT+0300,4512.437,4511.929,0.0006,0.0006
04.09.2023 01:24:40.064 GMT+0300,4512.187,4511.661,0.0006,0.0006
04.09.2023 01:24:44.221 GMT+0300,4512.443,4511.917,0.0006,0.0006
04.09.2023 01:25:08.561 GMT+0300,4512.184,4511.661,0.0006,0.0006
04.09.2023 01:25:11.879 GMT+0300,4512.253,4511.796,0.0006,0.0006
04.09.2023 01:25:19.490 GMT+0300,4512.437,4511.977,0.0006,0.0006
04.09.2023 01:25:40.785 GMT+0300,4512.3009999999995,4511.802000000001,0.0006,0.0006
04.09.2023 01:25:53.669 GMT+0300,4512.434,4511.9259999999995,0.0006,0.0006
04.09.2023 01:26:02.796 GMT+0300,4512.133,4511.67,0.0006,0.0006
04.09.2023 01:26:21.090 GMT+0300,4512.054,4511.546,0.0006,0.0006
04.09.2023 01:26:21.213 GMT+0300,4511.946,4511.429,0.0006,0.0006
04.09.2023 01:26:25.448 GMT+0300,4511.684,4511.179,0.0006,0.0006
04.09.2023 01:27:10.328 GMT+0300,4511.9400000000005,4511.423,0.0006,0.0006
04.09.2023 01:27:12.460 GMT+0300,4512.057,4511.537,0.0006,0.0006
04.09.2023 01:27:13.441 GMT+0300,4512.133,4511.727,0.0006,0.0006
